#* 17/03/2020 15:39:05	Stopping 123Solar (1356)

#3 17/03/2020 15:35:44	Connection lost

#3 17/03/2020 15:34:57	Missing 5' sample

#3 17/03/2020 15:30:41	Connection lost

#3 17/03/2020 15:29:54	Missing 5' sample

#3 17/03/2020 15:25:13	Connection lost

#3 17/03/2020 15:25:13	Missing 5' sample

#3 17/03/2020 15:20:03	Connection lost

#3 17/03/2020 15:20:03	Missing 5' sample

#3 17/03/2020 15:15:06	Connection lost

#3 17/03/2020 15:15:06	Missing 5' sample

#3 17/03/2020 15:05:39	VGrid high warning 251.13 V on phase 1

#3 17/03/2020 15:00:06	VGrid high warning 250.83 V on phase 1

#3 17/03/2020 14:55:19	VGrid high warning 250.54 V on phase 1

#3 17/03/2020 14:45:08	VGrid high warning 251.15 V on phase 1

#3 17/03/2020 14:40:26	VGrid high warning 251.73 V on phase 1

#3 17/03/2020 14:35:19	VGrid high warning 251.53 V on phase 1

#3 17/03/2020 14:25:32	VGrid high warning 250.96 V on phase 1

#3 17/03/2020 14:10:41	VGrid high warning 251.09 V on phase 1

#3 17/03/2020 14:05:39	VGrid high warning 251.02 V on phase 1

#3 17/03/2020 14:00:08	VGrid high warning 250.75 V on phase 1

#3 17/03/2020 13:55:04	VGrid high warning 250.15 V on phase 1

#3 17/03/2020 13:50:19	VGrid high warning 252.67 V on phase 1

#3 17/03/2020 13:45:33	VGrid high warning 251.02 V on phase 1

#3 17/03/2020 13:40:20	VGrid high warning 251.92 V on phase 1

#3 17/03/2020 13:35:16	VGrid high warning 251.8 V on phase 1

#3 17/03/2020 13:30:34	VGrid high warning 251.26 V on phase 1

#3 17/03/2020 13:25:29	VGrid high warning 250.05 V on phase 1

#3 17/03/2020 13:20:21	VGrid high warning 251.41 V on phase 1

#3 17/03/2020 13:15:18	VGrid high warning 250.16 V on phase 1

#3 17/03/2020 13:10:25	VGrid high warning 251.73 V on phase 1

#3 17/03/2020 13:05:26	VGrid high warning 251.42 V on phase 1

#3 17/03/2020 12:55:02	VGrid high warning 250.8 V on phase 1

#3 17/03/2020 12:45:32	VGrid high warning 250.06 V on phase 1

#3 17/03/2020 12:40:02	VGrid high warning 252.38 V on phase 1

#3 17/03/2020 12:35:19	VGrid high warning 252.21 V on phase 1

#3 17/03/2020 12:30:32	VGrid high warning 251.13 V on phase 1

#3 17/03/2020 12:25:37	VGrid high warning 251.89 V on phase 1

#3 17/03/2020 12:20:24	VGrid high warning 251.57 V on phase 1

#3 17/03/2020 12:15:09	VGrid high warning 250.48 V on phase 1

#3 17/03/2020 12:10:07	VGrid high warning 251.69 V on phase 1

#3 17/03/2020 12:05:06	VGrid high warning 250.11 V on phase 1

#3 17/03/2020 12:00:46	VGrid high warning 251.24 V on phase 1

#3 17/03/2020 11:55:05	VGrid high warning 252.05 V on phase 1

#3 17/03/2020 11:50:41	VGrid high warning 250.03 V on phase 1

#3 17/03/2020 11:45:04	VGrid high warning 251.21 V on phase 1

#3 17/03/2020 11:40:04	VGrid high warning 250.02 V on phase 1

#3 17/03/2020 11:35:32	VGrid high warning 250.56 V on phase 1

#3 17/03/2020 11:10:42	VGrid high warning 250.01 V on phase 1

#3 17/03/2020 11:05:18	VGrid high warning 250.1 V on phase 1

#3 17/03/2020 10:55:47	VGrid high warning 250.62 V on phase 1

#3 17/03/2020 10:10:34	VGrid high warning 251.35 V on phase 1

#3 17/03/2020 10:00:00	VGrid high warning 250.4 V on phase 1

#3 17/03/2020 06:55:06	Sync. inverter time

#3 17/03/2020 06:00:24 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 17/03/2020 05:55:34	Clean up

#3 17/03/2020 05:50:33	Missing 5' sample

#* 17/03/2020 05:47:02	123Solar awake

#* 16/03/2020 17:55:01	123Solar asleep

#3 16/03/2020 17:39:58	Missing 5' sample

#3 16/03/2020 17:34:54	Missing 5' sample

#3 16/03/2020 16:25:25	VGrid high warning 250.22 V on phase 1

#3 16/03/2020 16:20:13	VGrid high warning 251.77 V on phase 1

#3 16/03/2020 16:15:15	VGrid high warning 251.18 V on phase 1

#3 16/03/2020 16:10:23	VGrid high warning 251.9 V on phase 1

#3 16/03/2020 16:05:25	VGrid high warning 251.75 V on phase 1

#3 16/03/2020 15:55:14	VGrid high warning 250.76 V on phase 1

#3 16/03/2020 15:50:27	VGrid high warning 250.61 V on phase 1

#3 16/03/2020 15:45:02	VGrid high warning 250.15 V on phase 1

#3 16/03/2020 15:40:33	VGrid high warning 250.56 V on phase 1

#3 16/03/2020 15:35:05	VGrid high warning 251.37 V on phase 1

#3 16/03/2020 15:30:29	VGrid high warning 250.96 V on phase 1

#3 16/03/2020 15:25:14	VGrid high warning 252.05 V on phase 1

#3 16/03/2020 15:20:27	VGrid high warning 252.57 V on phase 1

#3 16/03/2020 15:15:15	VGrid high warning 251.44 V on phase 1

#3 16/03/2020 15:10:16	VGrid high warning 250.62 V on phase 1

#3 16/03/2020 15:00:24	VGrid high warning 251.91 V on phase 1

#3 16/03/2020 14:55:12	VGrid high warning 251.09 V on phase 1

#3 16/03/2020 14:30:06	VGrid high warning 250.21 V on phase 1

#3 16/03/2020 14:25:05	VGrid high warning 251.92 V on phase 1

#3 16/03/2020 14:20:30	VGrid high warning 251.98 V on phase 1

#3 16/03/2020 14:15:09	VGrid high warning 252.28 V on phase 1

#3 16/03/2020 14:10:17	VGrid high warning 252.26 V on phase 1

