#1 20/03/2020 07:30:08	Riso warning 4.3 Mohm

#1 20/03/2020 07:25:00	Riso warning 4.3 Mohm

#1 20/03/2020 07:20:04	Riso warning 4.3 Mohm

#1 20/03/2020 07:15:03	Riso warning 4.3 Mohm

#1 20/03/2020 07:10:01	Riso warning 4.3 Mohm

#1 20/03/2020 07:05:03	Riso warning 4.3 Mohm

#1 20/03/2020 07:00:02	Riso warning 4.3 Mohm

#1 20/03/2020 07:00:02	Sync. inverter time

#1 20/03/2020 06:55:05	Riso warning 4.3 Mohm

#1 20/03/2020 06:50:00	Riso warning 4.3 Mohm

#1 20/03/2020 06:45:04	Riso warning 4.3 Mohm

#1 20/03/2020 06:40:07	Riso warning 4.3 Mohm

#1 20/03/2020 06:35:06	Riso warning 4.3 Mohm

#1 20/03/2020 06:30:02	Riso warning 4.3 Mohm

#1 20/03/2020 06:25:05	Riso warning 4.3 Mohm

#1 20/03/2020 06:20:03	Riso warning 4.3 Mohm

#1 20/03/2020 06:15:05	Riso warning 4.3 Mohm

#1 20/03/2020 06:10:09	Riso warning 4.3 Mohm

#1 20/03/2020 06:05:07	Riso warning 4.3 Mohm

#* 20/03/2020 06:03:23	Starting 123Solar (29798)

#* 20/03/2020 06:03:21	Stopping 123Solar (23072)

#1 20/03/2020 06:00:47	Clean up log

#1 20/03/2020 05:55:33	Missing 5' sample

#1 20/03/2020 05:49:56	Missing 5' sample

#1 20/03/2020 05:45:29	Missing 5' sample

#1 20/03/2020 05:40:18	Missing 5' sample

#* 20/03/2020 05:40:18	123Solar awake

#* 19/03/2020 19:38:18	Starting 123Solar (23072)

#* 19/03/2020 19:38:16	Stopping 123Solar (22522)

#* 19/03/2020 19:36:52	Starting 123Solar (22522)

#* 19/03/2020 19:36:50	Stopping 123Solar (22221)

#* 19/03/2020 19:35:35	Starting 123Solar (22221)

#* 19/03/2020 19:35:34	Stopping 123Solar (4237)

#* 19/03/2020 18:00:03	123Solar asleep

#1 19/03/2020 12:19:15	VGrid high warning 250.24 V on phase 1

#1 19/03/2020 11:19:15	VGrid high warning 250.35 V on phase 1

#1 19/03/2020 10:54:04	VGrid high warning 250.21 V on phase 1

#1 19/03/2020 10:24:10	VGrid high warning 250.48 V on phase 1

#1 19/03/2020 09:59:06	VGrid high warning 250.04 V on phase 1

#1 19/03/2020 06:54:58	Sync. inverter time

#1 19/03/2020 05:59:02 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 19/03/2020 05:54:57	Clean up log

#1 19/03/2020 05:52:06	Riso warning 7.3 Mohm

#1 19/03/2020 05:49:54	Missing 5' sample

#1 19/03/2020 05:45:33	Missing 5' sample

#* 19/03/2020 05:42:03	123Solar awake

#* 18/03/2020 17:59:02	123Solar asleep

#1 18/03/2020 17:55:00	Riso warning 7.1 Mohm

#1 18/03/2020 17:50:19	Riso warning 7.1 Mohm

#1 18/03/2020 17:45:20	Riso warning 7.1 Mohm

#1 18/03/2020 17:40:23	Riso warning 7.1 Mohm

#1 18/03/2020 17:35:20	Riso warning 7.1 Mohm

#1 18/03/2020 17:30:20	Riso warning 7.1 Mohm

#1 18/03/2020 17:25:07	Riso warning 7.1 Mohm

#1 18/03/2020 17:20:25	Riso warning 7.1 Mohm

#1 18/03/2020 17:15:05	Riso warning 7.1 Mohm

#1 18/03/2020 17:10:03	Riso warning 7.1 Mohm

#1 18/03/2020 17:05:00	Riso warning 7.1 Mohm

